idx,lo,hi,radius,pass_ok
189,-0.499,2.951,17.05,0
190,-0.619,3.072,14.91,0
191,-1.239,2.972,10.45,0
192,-1.550,2.622,9.87,0
193,-1.800,2.350,10.40,0
194,-1.970,2.200,10.28,0
195,-1.948,2.200,11.07,0
196,-1.804,2.297,13.11,0
197,-1.685,2.347,17.79,0
198,-1.820,2.322,29.98,0
199,-2.227,2.100,104.50,0
200,-2.614,1.750,65.52,0
201,-3.212,1.550,23.99,0
202,-4.046,0.940,14.18,0
203,-3.815,0.520,10.02,0
204,-3.660,0.450,8.07,0
205,-3.652,0.488,7.40,0
206,-3.405,0.676,7.53,0
207,-2.793,1.191,8.54,0
208,-2.119,1.441,10.49,0
209,-1.450,1.634,13.57,0
210,-1.200,1.811,18.40,0
211,-1.000,1.968,26.97,0
212,-0.850,2.098,49.67,0
213,-0.850,2.350,652.62,0
214,-0.750,2.650,55.16,0
215,-0.839,3.032,26.00,0
216,-0.769,3.312,14.18,0
217,-0.896,3.600,8.34,0
218,-1.040,4.433,6.47,0
219,-1.134,4.667,7.01,0
220,-1.016,4.284,8.71,1
221,-0.890,4.050,9.67,1
222,-0.793,4.100,9.84,1
223,-0.700,4.250,10.09,1
224,-0.820,4.708,10.51,1
225,-1.040,3.658,11.17,1
226,-1.250,3.200,12.23,1
227,-1.400,3.000,13.93,1
228,-1.550,2.950,16.30,1
229,-1.550,3.143,19.34,1
230,-1.335,3.516,22.98,1
231,-1.041,4.024,27.07,1
232,-0.541,4.300,31.30,1
233,-0.434,4.409,34.95,1
234,-0.900,4.194,37.32,1
235,-1.450,3.771,37.57,1
236,-1.900,3.150,35.59,1
237,-2.250,2.750,32.36,1
238,-2.550,2.400,28.91,1
239,-2.850,2.100,26.45,1
240,-3.050,1.850,25.52,1
241,-3.150,1.700,26.98,1
