s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
28.9723235, 89633.3567172, 43127.4326088, 0.9153181, -0.0116230, 13.8903934, 4.3955796
29.9713692, 89632.5597936, 43128.0553646, 0.8977154, -0.0229605, 14.2030207, 4.3544103
30.9704148, 89631.7596685, 43128.7115371, 0.8682682, -0.0331458, 14.5060783, 4.0388825
31.9694604, 89630.9996168, 43129.3779602, 0.8329446, -0.0371214, 14.7816225, 2.6500026
32.9685061, 89630.2693478, 43130.0685611, 0.7925675, -0.0437454, 14.9596561, -1.0392877
33.9675517, 89629.5851506, 43130.7747921, 0.7448440, -0.0541236, 14.8900879, -1.0392877
34.9665974, 89628.9183266, 43131.5395824, 0.6897754, -0.0523513, 14.8201932, -0.5278977
35.9656430, 89628.3046967, 43132.3223963, 0.6411669, -0.0446610, 14.7845642, 1.2132361
36.9646886, 89627.7315022, 43133.1237966, 0.6024326, -0.0335171, 14.8663208, 3.5565045
37.9637343, 89627.1823835, 43133.9488413, 0.5732603, -0.0258237, 15.1034339, 4.2307170
38.9627799, 89626.6504633, 43134.7944078, 0.5509211, -0.0189729, 15.3807371, 4.1910918
39.9618256, 89626.1314520, 43135.6553835, 0.5351462, -0.0124648, 15.6505993, 4.1518378
40.9608712, 89625.6277208, 43136.5151454, 0.5258667, -0.0061836, 15.9134223, 4.1129515
41.9599168, 89625.1280264, 43137.3802245, 0.5227721, -0.0000332, 16.1695721, 4.0744294
42.9589625, 89624.6269375, 43138.2477902, 0.5257828, 0.0060300, 16.4193832, 4.0362681
43.9580081, 89624.1223361, 43139.1103509, 0.5332190, 0.0084931, 16.6631623, 3.9984642
44.9570538, 89623.6103272, 43139.9687672, 0.5427518, 0.0105905, 16.9011915, 3.9610143
45.9560994, 89623.0895959, 43140.8211634, 0.5544035, 0.0127523, 17.1337311, 3.9239153
46.9551450, 89622.5573082, 43141.6689392, 0.5665206, 0.0108520, 17.3610219, 3.8871637
47.9541907, 89622.0166888, 43142.5095888, 0.5760563, 0.0082242, 17.5832872, 3.8507563
48.9532363, 89621.4705025, 43143.3437616, 0.5829369, 0.0055718, 17.8007346, 3.8146899
49.9522819, 89620.9166990, 43144.1791417, 0.5876666, 0.0040757, 18.0135574, 3.7789613
50.9513276, 89620.3606156, 43145.0105707, 0.5911210, 0.0028287, 18.2219362, 3.7435674
51.9503732, 89619.8049616, 43145.8363047, 0.5933098, 0.0015643, 18.4260400, -12.0496172
52.9494189, 89619.2448221, 43146.6662665, 0.5935053, -0.0014984, 17.7607070, -11.9050608
53.9484645, 89618.6872307, 43147.4951411, 0.5902576, -0.0050130, 17.0779190, -10.9617331
54.9475101, 89618.1353858, 43148.3243941, 0.5835078, -0.0085365, 16.4241521, -10.9608532
55.9465558, 89617.5923989, 43149.1547338, 0.5748406, -0.0084185, 15.7433157, -11.0731913
56.9456014, 89617.0541814, 43149.9929810, 0.5668696, -0.0075598, 15.0242052, -11.3501059
57.9446471, 89616.5167131, 43150.8441415, 0.5597497, -0.0065712, 14.2494980, -10.3102948
58.9436927, 89615.9951405, 43151.6843358, 0.5500243, -0.0139488, 13.5073048, -9.1629093
59.9427383, 89615.4804681, 43152.5396168, 0.5320639, -0.0219722, 12.8116726, -8.2971093
60.9417840, 89614.9795126, 43153.4152478, 0.5059398, -0.0297815, 12.1474513, -7.5860738
61.9408296, 89614.5082612, 43154.2994130, 0.4720582, -0.0380246, 11.5066461, -6.9636016
62.9398753, 89614.0714109, 43155.2002273, 0.4294841, -0.0471927, 10.8852650, -6.4154791
63.9389209, 89613.6787461, 43156.1180456, 0.3773159, -0.0575360, 10.2796051, -5.4737947
64.9379665, 89613.3391226, 43157.0592791, 0.3124983, -0.0735779, 9.7330950, -4.5187266
65.9370122, 89613.0703331, 43158.0204073, 0.2298217, -0.0919792, 9.2576623, -3.9002874
66.9360578, 89612.8909660, 43158.9998925, 0.1296356, -0.1086484, 8.8267310, -3.7078705
67.9351034, 89612.8167384, 43160.0280075, 0.0147789, -0.1091634, 8.3965777, -4.5420110
68.9341491, 89612.8605768, 43161.0626403, -0.1011163, -0.1189113, 7.8375483, -3.2705711
69.9331947, 89613.0184072, 43162.0171940, -0.2336835, -0.1637159, 7.4089314, -0.2549199
70.9322404, 89613.3448711, 43162.9700702, -0.4361517, -0.2206576, 7.3744770, -0.2549199
71.9312860, 89613.8475737, 43163.8077071, -0.6365321, -0.1699218, 7.3398609, 0.0962443
72.9303316, 89614.4672588, 43164.5407562, -0.7584504, -0.1290997, 7.3529493, -1.7106526
73.9293773, 89615.2000258, 43165.2032349, -0.9260665, -0.2078423, 7.1167284, -0.2352087
74.9284229, 89616.0756969, 43165.7146786, -1.1656945, -0.2391493, 7.0836329, -0.2352087
75.9274686, 89617.0276911, 43166.0111632, -1.3588019, -0.1587717, 7.0503820, 3.8747872
76.9265142, 89618.0268543, 43166.1504053, -1.5010178, -0.1298955, 7.5795821, 4.2681960
77.9255598, 89618.9892106, 43166.1539028, -1.6422299, -0.1762150, 8.1227034, 0.0643603
78.9246055, 89619.9422339, 43166.0008750, -1.8161043, -0.1668419, 8.1306154, 0.6607222
79.9236511, 89620.9226546, 43165.6754418, -1.9550374, -0.1026937, 8.2114000, 4.7596003
80.9226968, 89621.7953608, 43165.2769987, -2.0394654, -0.0790036, 8.7713857, 4.9393568
81.9217424, 89622.6930867, 43164.7766632, -2.1190312, -0.0788339, 9.3170002, 4.7498031
82.9207880, 89623.5541056, 43164.1983504, -2.2086725, -0.0971629, 9.8131051, 2.1921135
83.9198337, 89624.3480815, 43163.5463454, -2.3074132, -0.0938622, 10.0337967, 2.0782995
84.9188793, 89625.0542078, 43162.8449770, -2.3966475, -0.0844384, 10.2386380, 2.6569595
85.9179249, 89625.6877917, 43162.1015926, -2.4725914, -0.0703785, 10.4946918, 3.7323425
86.9169706, 89626.2805918, 43161.2988456, -2.5364493, -0.0579824, 10.8441743, 4.6302586
87.9160162, 89626.8264105, 43160.4625808, -2.5881151, -0.0453892, 11.2626727, 4.7054010
88.9150619, 89627.3329340, 43159.6039740, -2.6269552, -0.0325082, 11.6726011, 4.6613299
89.9141075, 89627.8114370, 43158.7276196, -2.6558130, -0.0265360, 12.0649649, 4.6176717
90.9131531, 89628.2666770, 43157.8386466, -2.6800639, -0.0220162, 12.4414592, 4.5744223
91.9121988, 89628.7024487, 43156.9394869, -2.6997897, -0.0174655, 12.8035160, 4.5315780
92.9112444, 89629.1220385, 43156.0334238, -2.7155422, -0.0144051, 13.1523583, 4.4891350
93.9102901, 89629.5287244, 43155.1210156, -2.7286128, -0.0117679, 13.4890411, 4.4470895
94.9093357, 89629.9249125, 43154.2032836, -2.7390670, -0.0091524, 13.8144823, 4.4054379
95.9083813, 89630.3124610, 43153.2825311, -2.7468746, -0.0064547, 14.1294864, 4.3641763
96.9074270, 89630.6940551, 43152.3593210, -2.7519608, -0.0037291, 14.4347639, 4.3233012
97.9064726, 89631.0723225, 43151.4344123, -2.7543271, -0.0010080, 14.7309457, 4.2828089
98.9055183, 89631.4496998, 43150.5089871, -2.7540293, 0.0015598, 15.0185953, 4.2426959
99.9045639, 89631.8284779, 43149.5842505, -2.7512177, 0.0040689, 15.2982188, 4.2029586
100.9036095, 89632.2108207, 43148.6615246, -2.7458957, 0.0065912, 15.5702727, -0.5407448
101.9026552, 89632.5992621, 43147.7413566, -2.7378812, 0.0096235, 15.5355378, -10.1877626
102.9017008, 89632.9964994, 43146.8250420, -2.7266370, 0.0128878, 14.8659630, -9.6988127
103.9007464, 89633.4056343, 43145.9136073, -2.7121504, 0.0161011, 14.1992162, -9.6179782
104.8997921, 89633.8299635, 43145.0074038, -2.6949338, 0.0177468, 13.5055597, -9.6152024
105.8988377, 89634.2703857, 43144.1087312, -2.6767393, 0.0186494, 12.7745094, -9.7184720
106.8978834, 89634.7261838, 43143.2209868, -2.6575840, 0.0197819, 11.9904002, -8.4824875
107.8969290, 89635.1986502, 43142.3451740, -2.6339368, 0.0324236, 11.2614792, -6.5823720
108.8959746, 89635.6988614, 43141.4858246, -2.5916610, 0.0523491, 10.6615540, -5.2917895
109.8950203, 89636.2463063, 43140.6487348, -2.5302710, 0.0697556, 10.1535833, -4.8693173
110.8940659, 89636.8494723, 43139.8526491, -2.4543247, 0.0810610, 9.6626039, -4.5466682
111.8931116, 89637.5155198, 43139.1078305, -2.3676031, 0.0931215, 9.1804823, -4.0350966
112.8921572, 89638.2507395, 43138.4262105, -2.2664738, 0.1091881, 8.7303359, -3.9667956
113.8912028, 89639.0745864, 43137.8168539, -2.1473339, 0.1175266, 8.2639425, -4.1610638
114.8902485, 89639.9757627, 43137.3067171, -2.0231043, 0.1255597, 7.7445826, -4.0057358
115.8892941, 89640.8818745, 43136.9376026, -1.8868640, 0.1584981, 7.2093505, -1.2406707
116.8883398, 89641.8467312, 43136.7150381, -1.6972203, 0.2220663, 7.0353224, -0.2298585
117.8873854, 89642.8379836, 43136.7055384, -1.4596492, 0.2447158, 7.0026054, -0.2298585
118.8864310, 89643.7773100, 43136.9196851, -1.2409343, 0.2040633, 6.9697349, 1.8594693
119.8854767, 89644.6737271, 43137.3283752, -1.0469989, 0.1925956, 7.2313618, 1.6835554
120.8845223, 89645.4937262, 43137.9157270, -0.8502899, 0.1993845, 7.4603278, 0.6420706
121.8835679, 89646.1768132, 43138.6472808, -0.6562240, 0.1791599, 7.5458205, 1.5318376
122.8826136, 89646.7174735, 43139.4895871, -0.4886539, 0.1577353, 7.7459769, 2.2546061
123.8816592, 89647.1129121, 43140.3938262, -0.3358942, 0.1597360, 8.0315046, 1.3938486
124.8807049, 89647.3579557, 43141.3295086, -0.1754083, 0.1657175, 8.2030545, 0.5334280
125.8797505, 89647.4539525, 43142.3443682, -0.0177667, 0.1394393, 8.2677652, 2.1480798
126.8787961, 89647.4103484, 43143.3152327, 0.1032652, 0.1133857, 8.5233797, 3.4222173
127.8778418, 89647.2539468, 43144.2973978, 0.2114294, 0.1063949, 8.9154867, 3.1705143
128.8768874, 89646.9810753, 43145.2954096, 0.3232043, 0.1112791, 9.2639560, 2.0476421
129.8759331, 89646.6082283, 43146.2319071, 0.4314203, 0.0957525, 9.4822074, 2.9692101
130.8749787, 89646.1509419, 43147.1206374, 0.5150680, 0.0721453, 9.7900464, 4.6359598
131.8740243, 89645.6287753, 43147.9767394, 0.5768776, 0.0515454, 10.2522232, 4.8073059
132.8730700, 89645.0605289, 43148.8078481, 0.6197896, 0.0350037, 10.7104396, 4.7622804
133.8721156, 89644.4639870, 43149.6175498, 0.6476549, 0.0202114, 11.1458058, 4.7176766
134.8711613, 89643.8582392, 43150.4059281, 0.6600179, 0.0044773, 11.5609401, 4.6734906
135.8702069, 89643.2492117, 43151.1913028, 0.6570865, -0.0068771, 11.9579846, 4.6297185
136.8692525, 89642.6378817, 43151.9895896, 0.6498995, -0.0074158, 12.3387194, 4.5863563
137.8682982, 89642.0383308, 43152.7846424, 0.6422579, -0.0079278, 12.7046430, 4.5434002
138.8673438, 89641.4463275, 43153.5826934, 0.6341556, -0.0082845, 13.0570319, 4.5008465
139.8663894, 89640.8552906, 43154.3933156, 0.6258462, -0.0082764, 13.3969842, 4.4586913
140.8654351, 89640.2744619, 43155.2039456, 0.6176085, -0.0082395, 13.7254529, 4.4169310
141.8644807, 89639.7012212, 43156.0180182, 0.6094210, -0.0082774, 14.0432720, 4.3755618
142.8635264, 89639.1317996, 43156.8410676, 0.6009945, -0.0085553, 14.3511763, 4.3345800
143.8625720, 89638.5710915, 43157.6665112, 0.5923358, -0.0087918, 14.6498173, 4.2939821
144.8616176, 89638.0180972, 43158.4961551, 0.5834584, -0.0090583, 14.9397763, 4.2537645
145.8606633, 89637.4719203, 43159.3318543, 0.5742209, -0.0094407, 15.2215743, 4.2139235
146.8597089, 89636.9332566, 43160.1732697, 0.5646151, -0.0097814, 15.4956810, 4.1744556
147.8587546, 89636.4034657, 43161.0188944, 0.5546991, -0.0100983, 15.7625211, 4.1353575
148.8578002, 89635.8832068, 43161.8681842, 0.5444904, -0.0103902, 16.0224809, 4.0966255
149.8568458, 89635.3694480, 43162.7267184, 0.5339772, -0.0106135, 16.2759124, -8.5212624
150.8558915, 89634.8656035, 43163.5893381, 0.5232084, -0.0111814, 15.7441756, -10.2702390
151.8549371, 89634.3734843, 43164.4539285, 0.5115261, -0.0122956, 15.0784015, -10.2042769
152.8539828, 89633.8886678, 43165.3305410, 0.4986694, -0.0133638, 14.3864212, -10.1872006
153.8530284, 89633.4172219, 43166.2102625, 0.4858195, -0.0091233, 13.6606792, -11.1626235
154.8520740, 89632.9572957, 43167.0864846, 0.4829451, 0.0031912, 12.8183547, -10.5659739
155.8511197, 89632.4887421, 43167.9723537, 0.4920080, 0.0147018, 11.9665549, -8.9325605
156.8501653, 89632.0027641, 43168.8592139, 0.5127696, 0.0291584, 11.1959977, -6.3655288
157.8492109, 89631.4935666, 43169.7250625, 0.5547320, 0.0547132, 10.6127969, -3.6655452
158.8482566, 89630.9385720, 43170.5597059, 0.6237501, 0.0838316, 10.2619376, -0.4890478
159.8473022, 89630.3214252, 43171.3372950, 0.7236054, 0.1150194, 10.2142156, -0.4890478
160.8463479, 89629.6015361, 43172.0627705, 0.8386466, 0.1102671, 10.1662697, 0.1190962
161.8453935, 89628.8235202, 43172.6888008, 0.9474225, 0.1079854, 10.1779666, 0.3281012
162.8444391, 89628.0047505, 43173.2144822, 1.0528479, 0.1079047, 10.2101215, 0.2626496
163.8434848, 89627.1134173, 43173.6663111, 1.1445785, 0.0730516, 10.2357891, 3.8551655
164.8425304, 89626.1983243, 43174.0500453, 1.1956089, 0.0292659, 10.6053925, -4.2237180
165.8415761, 89625.2652842, 43174.4096562, 1.2030521, -0.0142686, 10.1997538, -7.3671222
166.8406217, 89624.3462659, 43174.7787695, 1.1677387, -0.0565588, 9.4506505, -4.4650440
167.8396673, 89623.4378489, 43175.2046933, 1.0899934, -0.0984138, 8.9662271, -2.9934367
168.8387130, 89622.5646295, 43175.7256133, 0.9702268, -0.1257238, 8.6262430, -2.6039244
169.8377586, 89621.7476612, 43176.3641644, 0.8459936, -0.1171793, 8.3192061, -4.1979874
170.8368043, 89621.0424974, 43177.0680489, 0.7242528, -0.1317550, 7.7987966, -1.7239539
171.8358499, 89620.4497359, 43177.8429162, 0.5729931, -0.1837857, 7.5747350, -0.2664572
172.8348955, 89619.9955151, 43178.7288814, 0.3697478, -0.2111033, 7.5395096, -0.2664572
173.8339412, 89619.7328813, 43179.6684684, 0.1842207, -0.1582544, 7.5041188, 2.8244510
174.8329868, 89619.6284695, 43180.6128255, 0.0359103, -0.1569578, 7.8711696, 1.9852177
175.8320324, 89619.6731512, 43181.6212883, -0.1254245, -0.1625301, 8.1192337, 0.9766863
176.8310781, 89619.8840090, 43182.6170229, -0.2903385, -0.1508952, 8.2385353, 1.4400659
177.8301237, 89620.2307535, 43183.5387124, -0.4251743, -0.1255703, 8.4113523, 2.7841475
178.8291694, 89620.7049932, 43184.4354735, -0.5458135, -0.1142181, 8.7357787, 2.9258620
179.8282150, 89621.2766025, 43185.2656262, -0.6603489, -0.1148427, 9.0642136, 2.1794046
180.8272606, 89621.9272233, 43186.0109280, -0.7753573, -0.1169916, 9.3013234, 1.4729762
181.8263063, 89622.6683316, 43186.6834602, -0.8921761, -0.1157504, 9.4582112, 1.2258968
182.8253519, 89623.4820358, 43187.2659593, -1.0061630, -0.1120158, 9.5868249, 0.2990544
183.8243976, 89624.3443190, 43187.7476782, -1.1165073, -0.1120266, 9.6179390, -2.0442994
184.8234432, 89625.2704002, 43188.1364847, -1.2307513, -0.1158950, 9.4031938, -2.0885302
185.8224888, 89626.2530271, 43188.4187477, -1.3522626, -0.1181422, 9.1786153, -1.9922258
186.8215345, 89627.3010380, 43188.5869528, -1.4686626, -0.1046630, 8.9591478, -3.9608895
187.8205801, 89628.3127208, 43188.6361174, -1.5774616, -0.1147990, 8.5060044, -0.3360035
188.8196258, 89629.2269928, 43188.5767730, -1.7017489, -0.1674090, 8.4664482, -0.3360035
189.8186714, 89630.2288692, 43188.3496952, -1.8851069, -0.1614220, 8.4267064, 0.2046691
190.8177170, 89631.1249556, 43188.0001674, -1.9773364, -0.0230430, 8.4509365, 4.9652266
191.8167627, 89631.9760541, 43187.6299041, -1.9911187, -0.0423827, 9.0188305, 4.9187220
192.8158083, 89632.8664740, 43187.2000469, -2.0573339, -0.0872771, 9.5481600, 3.6158302
193.8148539, 89633.7951237, 43186.6439177, -2.1683903, -0.1146322, 9.9192801, 0.2598809
194.8138996, 89634.5718055, 43186.0619538, -2.2503673, -0.0589953, 9.9454202, 4.8363529
195.8129452, 89635.3430615, 43185.4091325, -2.2896293, -0.0204991, 10.4199260, 4.7910554
196.8119909, 89636.1042587, 43184.7368200, -2.2930987, 0.0140395, 10.8695825, 1.4399711
197.8110365, 89636.9090224, 43184.0450585, -2.2662040, 0.0303988, 11.0011371, -8.0474213
198.8100821, 89637.7090142, 43183.4006958, -2.2294854, 0.0423506, 10.2442928, -6.5402531
199.8091278, 89638.4654174, 43182.8422417, -2.1806831, 0.0641117, 9.5852758, -2.8685690
200.8081734, 89639.3142628, 43182.2976970, -2.0935904, 0.1106872, 9.2814789, -1.1043517
201.8072191, 89640.1850524, 43181.8629876, -1.9700442, 0.1344915, 9.1618369, -0.9515133
202.8062647, 89641.0817727, 43181.5483346, -1.8473678, 0.1321795, 9.0574855, -0.4841342
203.8053103, 89642.0349312, 43181.3458642, -1.7104724, 0.1467347, 9.0039269, -0.3764927
204.8043560, 89643.0833634, 43181.2813466, -1.5535746, 0.1494053, 8.9620552, -0.3764927
205.8034016, 89644.0401284, 43181.3626727, -1.4223123, 0.1261105, 8.9199869, 1.5929067
206.8024473, 89645.0225954, 43181.5719772, -1.3008541, 0.1177874, 9.0966444, 1.8653287
207.8014929, 89646.0007282, 43181.9080852, -1.1782427, 0.1205437, 9.2992493, 1.1704995
208.8005385, 89646.9004569, 43182.3391720, -1.0754435, 0.0861968, 9.4241605, 3.9281299
209.7995842, 89647.7642929, 43182.8492648, -1.0043678, 0.0561167, 9.8317630, 4.8468895
210.7986298, 89648.5926814, 43183.4036677, -0.9622063, 0.0285666, 10.3125211, 4.8014933
211.7976755, 89649.4239998, 43183.9964649, -0.9439635, 0.0074432, 10.7676327, 4.7565223
212.7967211, 89650.2341000, 43184.5832111, -0.9478012, -0.0156861, 11.2002625, -6.4585389
213.7957667, 89651.0336562, 43185.1435294, -0.9755019, -0.0415994, 10.6085404, -5.6267136
214.7948124, 89651.8465468, 43185.6653866, -1.0288947, -0.0676034, 10.0647127, -5.0611689
215.7938580, 89652.7073198, 43186.1421186, -1.1032896, -0.0807831, 9.5491237, -4.8863368
216.7929036, 89653.6589359, 43186.5729906, -1.1874492, -0.0779327, 9.0234371, -5.9431624
217.7919493, 89654.6166642, 43186.9159307, -1.2672527, -0.0826359, 8.3395105, -5.7390044
218.7909949, 89655.6121893, 43187.1777656, -1.3650211, -0.1124863, 7.6210486, -1.9965704
219.7900406, 89656.5733751, 43187.3148124, -1.5055697, -0.1896244, 7.3546619, -1.6516172
220.7890862, 89657.6643470, 43187.2596070, -1.7348036, -0.1900525, 7.1267784, -0.3252600
221.7881318, 89658.6176864, 43187.0251470, -1.8670781, -0.0518931, 7.0810360, -9.5329343
222.7871775, 89659.4898480, 43186.7733121, -1.8281659, -0.0498908, 5.5761454, -0.1443979
223.7862231, 89660.3780118, 43186.4226351, -2.1252297, -0.3895487, 5.5502142, -0.1443979
224.7852688, 89661.0943395, 43185.8281276, -2.3648053, -0.1670757, 5.5241613, 5.1569546
225.7843144, 89661.7587076, 43185.0383569, -2.5154585, -0.1408613, 6.3890863, 5.1086543
226.7833600, 89662.3229640, 43184.1034068, -2.6888415, -0.1693861, 7.1433872, -2.5103702
227.7824057, 89662.7042382, 43183.1021673, -2.8664647, -0.1691045, 6.7832170, -1.6593330
228.7814513, 89662.8788505, 43182.1959208, -3.0472716, -0.2468773, 6.5342584, -0.1982829
229.7804970, 89662.8261890, 43181.2321743, 2.9283430, -0.2836856, 6.5038716, -0.1982829
230.7795426, 89662.5538456, 43180.3124413, 2.8288101, -0.0283540, 6.4733422, 5.1035743
231.7785882, 89662.2427362, 43179.4607207, 2.7360615, -0.1507127, 7.2181415, 3.9034038
232.7776339, 89661.7228750, 43178.5031178, 2.5462467, -0.1854404, 7.7395687, 0.6111624
233.7766795, 89661.1051771, 43177.7391148, 2.3877762, -0.1309939, 7.8180612, 3.7068710
234.7757251, 89660.3748711, 43177.0494508, 2.2715091, -0.1059442, 8.2782092, 4.4185473
235.7747708, 89659.5490561, 43176.4260165, 2.1631531, -0.1072819, 8.7953061, 3.3383395
236.7738164, 89658.6468774, 43175.8928924, 2.0454662, -0.1093772, 9.1666633, 2.4154000
237.7728621, 89657.7080204, 43175.4725180, 1.9408526, -0.0932959, 9.4262350, 3.2937922
238.7719077, 89656.7868601, 43175.1595262, 1.8588480, -0.0746117, 9.7690943, 4.4320610
239.7709533, 89655.8459692, 43174.9137713, 1.7981600, -0.0464407, 10.2122899, 4.8111366
240.7699990, 89654.8766143, 43174.7047450, 1.7770758, 0.0067656, 10.6725796, 4.7660752
241.7690446, 89653.9120509, 43174.4900944, 1.8111715, 0.0591674, 11.1097709, 3.9490981
242.7680903, 89652.9941669, 43174.2365909, 1.8665814, 0.0480355, 11.4593921, -6.0598767
243.7671359, 89652.0530687, 43173.9284638, 1.9049536, 0.0305206, 10.9183094, -8.8233541
244.7661815, 89651.0700684, 43173.5722617, 1.9296564, 0.0174414, 10.0786712, -8.8801923
245.7652272, 89650.1190265, 43173.2032611, 1.9569726, 0.0419006, 9.1562098, -6.8376105
246.7642728, 89649.1887673, 43172.7954272, 2.0170860, 0.0782530, 8.3769928, -4.1918301
247.7633185, 89648.3178235, 43172.3278780, 2.1185100, 0.1310367, 7.8611926, -4.1553060
248.7623641, 89647.4631094, 43171.7103075, 2.2764277, 0.1486248, 7.3140734, -3.7659384
249.7614097, 89646.7322783, 43170.9862716, 2.4256777, 0.1434091, 6.7801903, -5.2978539
250.7604554, 89646.1883635, 43170.2710408, 2.5596477, 0.1609581, 5.9485616, -0.1643299
251.7595010, 89645.7359971, 43169.3739734, 2.8225030, 0.3422993, 5.9208985, -0.1643299
252.7585466, 89645.5784675, 43168.4111614, 3.1121347, 0.2105851, 5.8931055, 4.5238641
253.7575923, 89645.6332675, 43167.4676407, -3.0034554, 0.1612909, 6.6157226, 4.7354941
254.7566379, 89645.8628828, 43166.4553216, -2.8302977, 0.1803174, 7.2958711, 2.1522364
255.7556836, 89646.2548694, 43165.5408337, -2.6470383, 0.1604770, 7.5848599, 2.4980708
256.7547292, 89646.7793660, 43164.7080568, -2.5235282, 0.0909360, 7.9070521, 5.0069306
257.7537748, 89647.4097216, 43163.8856213, -2.4622446, 0.0302952, 8.5162068, 4.9600354
258.7528205, 89648.0320041, 43163.1428386, -2.4227382, 0.0513806, 9.0794483, 4.9135795
259.7518661, 89648.7143497, 43162.4076678, -2.3606378, 0.0724081, 9.6049030, 4.8675586
260.7509118, 89649.4649188, 43161.7098362, -2.2752004, 0.0944164, 10.0985141, 1.8933892
261.7499574, 89650.2392080, 43161.1125111, -2.1795587, 0.1007353, 10.2841214, -1.3280930
262.7490030, 89651.0823627, 43160.5864041, -2.0770291, 0.1051128, 10.1542849, -1.6061146
263.7480487, 89651.9971807, 43160.1418589, -1.9689498, 0.1067806, 9.9950156, -1.5614249
264.7470943, 89652.9250980, 43159.8071147, -1.8662952, 0.1004177, 9.8377064, -2.5420407
265.7461400, 89653.8898509, 43159.5645546, -1.7685255, 0.0968147, 9.5760764, -3.4190396
266.7451856, 89654.8888339, 43159.4147064, -1.6707659, 0.0972959, 9.2124744, -3.9461265
267.7442312, 89655.9289742, 43159.3638469, -1.5686979, 0.0956689, 8.7741076, -4.8372635
268.7432769, 89656.9948673, 43159.4200820, -1.4670602, 0.0981321, 8.2048565, -4.9564268
269.7423225, 89657.9809490, 43159.5752090, -1.3577097, 0.1273630, 7.5773529, -0.2666414
270.7413681, 89658.8699802, 43159.8336062, -1.2040559, 0.2109575, 7.5421153, -0.2666414
271.7404138, 89659.8047324, 43160.3224918, -0.9789517, 0.1772510, 7.5067123, 1.7476310
272.7394594, 89660.5371547, 43160.8717078, -0.9117071, -0.0534521, 7.7358035, -2.4451999
273.7385051, 89661.2690746, 43161.4497070, -0.8582222, 0.1595272, 7.4132937, -0.2552202
274.7375507, 89661.9843291, 43162.2103678, -0.6408209, 0.2203979, 7.3788190, -0.2552202
275.7365963, 89662.4730439, 43162.9916071, -0.4992185, 0.0910129, 7.3441825, 5.0471702
276.7356420, 89662.9259927, 43163.8904223, -0.4454486, 0.0238734, 8.0013576, 4.9998982
